disease,perm_idx,perm_mean_auc
acute pancreatitis,142,0.4496633372686995
acute pancreatitis,143,0.5258895589784243
acute pancreatitis,144,0.4581434106434106
acute pancreatitis,145,0.5209365564213224
acute pancreatitis,146,0.4692625728688447
acute pancreatitis,147,0.551631730102258
acute pancreatitis,148,0.4587942762494177
acute pancreatitis,149,0.5076959317919082
acute pancreatitis,150,0.45007639826060875
acute pancreatitis,151,0.4943197296630183
acute pancreatitis,152,0.5443606295852885
acute pancreatitis,153,0.48059514646673085
acute pancreatitis,154,0.3853317763394785
acute pancreatitis,155,0.47711333037414044
acute pancreatitis,156,0.48105333683905105
acute pancreatitis,157,0.45751170269286207
acute pancreatitis,158,0.49380113304677414
acute pancreatitis,159,0.5326046245954552
acute pancreatitis,160,0.4820532361104443
acute pancreatitis,161,0.49502573055940163
acute pancreatitis,162,0.40054023461918203
acute pancreatitis,163,0.49435525379861023
acute pancreatitis,164,0.5129053715294128
acute pancreatitis,165,0.5842043908463758
acute pancreatitis,166,0.5025644024118001
acute pancreatitis,167,0.5059271666725083
